Intent,Query,Responses
Acad_Axi_AA_actividades del primer parcial,What are the activities of the first quarter?,"The activities of the first partial are: partial evaluation 1, partial evaluation 2 and project part 1"
Acad_Axi_AA_actividades del segundo parcial,What are the activities of the second quarter?,The activities of the second part are: Partial evaluation 3 and Project part 2
Acad_Axi_AA_apartado de la prueba conócete,In which section will the know yourself test occupy?,"In session 4 you will use this tool, the know yourself test will help you to know yourself more thoroughly and take into account traits that you did not imagine you had."
Acad_Axi_AA_avance de contenido,Where can I check my content trailer?,"Once inside the subject, follow the route: My classroom / Class progress."
Acad_Axi_AA_comunicar con mi docente,How can I communicate with my teacher?,"All means of communication must be through the Brightspace platform to send a message you must enter the LIVING ROOM, then you must enter the STUDENT LIST, there you will find the INSTRUCTOR of the subject, there you must CLIK the name of the INSTRUCTOR and it will allow you Send a message."
Acad_Axi_AA_Con cuanto paso la materia de Aprender a Aprende,How much did the subject of Learning to Learn pass?,"HELLO, you pass your axiological subjects with the minimum that is a __ but we ask you to make an effort so that you get a better grade."
Acad_Axi_AA_contacto con mi docente,How can I get in touch with my teacher?,"Contact with my teacher: Through the platform in the Locator icon, choose the option (Mail or message), also through the path: My classroom / List of students / Search for the teacher / Touch the image of your contact."
Acad_Axi_AA_contenidos para revisar,What content must you review to pass the subject?,"All the contents that are in the loaded matter must be reviewed, from session 1 to session 7. Remember that you must carry out the activities that are in each session to obtain a significant advance within the platform."
Acad_Axi_AA_costo prueba conocete,Does the PDA Test or Know You Test have any cost?,"Yes, you have to contact your coordinator of transversal subjects or director of entrepreneurship of your campus to continue with the payment process of the know yourself test."
Acad_Axi_AA_Cuál de los intentos de examen tiene valor,Which of the exam attempts has value?,Which of the exam attempts has value: You will be able to verify the number of attempts for evaluations by following the path: My classroom / Questionnaires.
Acad_Axi_AA_Cuáles son los porcentajes de las actividades,What are the percentages of the activities?,Percentages of activities You can access your percentages with the route: My classroom / Qualifications.
Acad_Axi_AA_Debo revisar todo el contenido,Should I check all the content?,"I must review all the content: Of course, the purpose is that at the end of the subject you will have 100% in your class progress, if you are in scholastic mode you will have to review one learning unit per week, if you are in executive mode you will review a session per week."
Acad_Axi_AA_Dónde tengo que subir la Prueba PDA o Prueba Conocete,Where do I have to upload the PDA Test or Meet You Test?,"Where do I have to upload the PDA Test or Meet Yourself Test: You have to attach the PDA Test with your PROJECT, do not forget to follow the teacher's instructions."
Acad_Axi_AA_ejercicios que dicen que no tienen valor,Should I do the exercises that they say are worthless?,"Algunos ejercicios no tienen valor ya que son parte de la evaluacion formativa y revisión de contenidos, por lo tanto son pieza para el logro de porcentajes favorables en tus evaluaciones."
Acad_Axi_AA_encuentro las instrucciones para realizar mi proyecto,Where can I find the instructions to carry out my project?,"The instructions can be found within the platform, if you want to enter directly, you can do it from the calendar of the matter, clicking on the activity to be delivered."
Acad_Axi_AA_entrar a sesiones virtuales,Do I have to enter all my virtual sessions?,"If you do not have the opportunity to enter all your virtual sessions, do not worry, notify your D3COD1 coordinator and he will tell you how to work."
Acad_Axi_AA_fechas límites de entrega de actividades,What are the deadlines for the delivery of activities?,You will find the deadline for the delivery of activities within the calendar of the matter uploaded in Brightspace.
Acad_Axi_AA_mando mis actividades,Where do I send my activities?,You can have access to the shipping folders with the path: My room / Tasks.
Acad_Axi_AA_necesario llevar esta materia,Why is it necessary to wear this material?,It is necessary to take this subject because you will be able to know different skills that you can develop
Acad_Axi_AA_no hay Internet,"If I am in a community where there is no Internet, how can I make progress in my subject?","There is no Internet: Approach your coordinator, so that he can help you and pass on the content of the subject."
Acad_Axi_AA_plan de vida y carrera,What is a life and career plan?,"It is self-knowledge in itself, knowing from the positive to the negative of your person and the environment."
Acad_Axi_AA_preguntas de comprensión,How Much Are Comprehension Questions Worth?,"Comprehension questions have no impact on the grade, but they help you prepare for your midterm assessment."
Acad_Axi_AA_preguntas de compresión,Are compression questions required?,"Comprehension questions are not required, but they help you prepare for your midterm assessment."
Acad_Axi_AA_problemas con subir mis proyectos,"If I have problems uploading my projects, what can I do?","Problems with uploading my projects: Get closer to your coordinator, to see what the error was and he can support you."
Acad_Axi_AA_Prorroga en actividades,Is there an extension in sending activities or evaluations?,"There are no extensions for sending activities since the dates are defined by the platform calendar, both at the beginning and on the route: My room / Tasks"
Acad_Axi_AA_Puedo llevar la materia sin necesidad de entrar a las sesiones virtuales,Can I take the material without having to enter the virtual sessions?,"I can take the subject without having to enter the virtual sessions: Of course, since the purpose of the subject is that you take it 100% online and that you advance alone"
Acad_Axi_AA_Quien es mi docente,Who is my teacher?,"You will find the teacher's name in the LIVING ROOM, then you must enter the STUDENT LIST, there you will find the INSTRUCTOR of the subject."
Acad_Axi_AA_Qué actividades me dan calificación,What  activities give me a grade?,"You are given a grade in evaluation 1, 2 and 3, in the same way in the delivery of the project part 1 and in the delivery of the project part 2, if you deliver these activities you are sure that you pass the subject."
Acad_Axi_AA_Qué es una materia axiológica,What is an axiological matter?,"Axiological subject: Axiological is a branch of philosophy which studies values, axiological subjects are the complement to your professional ethics, however, there are subjects that throughout your career will provide you with learning about the domain of ICTs. among others that will be very useful."
Acad_Axi_AA_verificar mi calificación de la materia,Where can I check my grade for the subject?,The partial or total qualification must be verified within the application of My Aliat Network.
Acad_Axi_CD_5_cambiar contraseña,How to change password?,"To change the password: While in your email, click on the button http://online.aliat.edu.mx/licenciatura/Contenidos/Expertia/MODULO_1/s1_04b_clip_image001.png Configuration and select Options. Click Change password, this option is in the information blocks on the right side of the screen. You may be prompted to log in again, if so please do so. In the space to Change your password, type your old password and then your new password twice in the boxes that are requested. Click Save. If your password is changed successfully, your profile page will be displayed. Close the My Profile page."
Acad_Axi_CD_5_concentración,How does concentration help us?,"Concentration can help us at all times, from a simple conversation to a megaproject requires concentration and dedication to be successful."
Acad_Axi_CD_5_correo institucional,How to create the institutional mail?,To create the institutional email: Access link portal.office.com Capital letter “E” accompanied by your ID; This would be an example: “E00000012345” Readable as follows: Email account: E+ID@aliat.edu.mx Password: Temporal1
Acad_Axi_CD_5_word,What is Word for?,Word is a text editor.
Acad_Axi_CD_6_Contactos outlook,How to delete contacts to Outlook?,"To delete contacts in Outlook, we select the contact to delete, Click on modify (3 points), Click on Delete."
Acad_Axi_CD_6_Convocar una reunión,What should we take when it comes to calling a meeting?,Call the meeting in good time. Summon only people who are related to the topic to be discussed. Inform the purpose of the meeting Provide in advance the documentation to be reviewed
Acad_Axi_CD_administrar el tiempo,What are the habits that will help you manage time?,"Manage time: Get up early, plan, acknowledge shared goals, and take time off as it helps reduce stress."
Acad_Axi_CD_Cuál es la finalidad de la ofimática,What is the purpose of office automation?,Office automation: Automate and improve tasks.
Acad_Axi_CD_Cómo activo la configuración sin conexión,How do I activate offline settings?,"Offline configuration: While in your email, click on the button http://online.aliat.edu.mx/licenciatura/Contenidos/Expertia/MODULO_1/s1_04b_clip_image001.png Configuration and select Offline Configuration."
Acad_Axi_CD_Cómo agregar contactos a Outlook,How to add contacts to Outlook?,"Enter the email https://outlook.office.com/ Enter with your username and assigned password, then to the people menu, We select the button again and then create contact. Type the name of your contact in the fields indicated."
Acad_Axi_CD_Cómo cambiar agregar una foto y cambiar el Nombre para mostrar,How to change add a photo and change the Display Name?,"While in your email, click on the button http://online.aliat.edu.mx/licenciatura/Contenidos/Expertia/MODULO_1/s1_04b_clip_image001.png Configuration and select Options."
Acad_Axi_CD_Cómo crear una cita,How to create an appointment?,"Create an appointment: Choose the calendar option. Then the day of the week that you are going to schedule. We fill in the data that they ask us, Event, location, we add a room, the day and time of the appointment, we select the people. Click send."
Acad_Axi_CD_Cómo modificar una cita,How to modify an appointment?,Choose the appointment Double click on the appointment to modify. And ready we can modify in any field that is necessary.
Acad_Axi_CD_Cómo planear una reunión en Outlook,How to plan a meeting in Outlook?,"Meeting in Outlook: Enter the email https://outlook.office.com/ Enter with your username and assigned password, then to the people menu, We select the person. We go to the notes and add the information to plan."
Acad_Axi_CD_elimino un calendario adicional,How do I delete an additional calendar?,"Choose the calendar to delete Secondary click on it with the mouse. Select the delete option. The confirmation will come out, click yes."
Acad_Axi_CD_hago si mi correo no se activa,What do I do if my email is not activated?,"I do if my email is not activated: In case of access problems, report it to technical support so that they can register your email account in a maximum period of 24 hours."
Acad_Axi_CD_investigación documental,How extensive should desk research be?,"Documentary research: If you have questions regarding the activity, contact your teacher or the DECODI subject coordinator at your campus for more information."
Acad_Axi_CD_L1_App,¿what is App?,Application software for mobile devices. Click here for more related information.
Acad_Axi_CD_L1_Características de los Dispositivos móviles,Mobile Device Features?,"Mobile Device Features: Interaction with people: It is the characteristic of mobile devices related to the process of use that is established with the device, and that disciplines such as usability and ergonomics intervene in its design Limited functionality: It is a feature that differentiates mobile devices from computers. Click here for more related information."
Acad_Axi_CD_L1_CD-ROM,What is CD-ROM?,It is an example of an optical storage device. Click here for more related information.
Acad_Axi_CD_L1_Disco duro SSD,What is SSD hard drive?,"Disco duro SSD, es un ejemplo de dispositivo de almacenamiento de estado sólido. Dá click aquí para más información relacionada"
Acad_Axi_CD_L1_Dispositivo Magnético,What is a Magnetic Device?,El disco duro no extraíble es un ejemplo de este tipo de dispositivos de almacenamiento magnético.Dá click aquí para más información relacionada
Acad_Axi_CD_L1_Dispositivos periféricos,What are Peripheral Devices?,Peripheral devices are defined as electronic devices that allow computers to communicate with the outside world. Click here for more related information.
Acad_Axi_CD_L1_Hardware,What is defined as the physical and tangible of a computer?,El hardware se define como lo físico y tangible de una computadora. Dá click aqui para más informacion relacionada
Acad_Axi_CD_L1_Memoria RaM,RAM memory,RAM memory is an example of hardwareClick here for more related information.
Acad_Axi_CD_L1_Pantalla táctil,Touch screen,"It is a kind of peripheral input / output device, it is the touch screen. Click here for more related information."
Acad_Axi_CD_L1_Smartphone,What is a Smartphone?,"Smartphone, it is the name given to the electronic device that works like a mobile phone with characteristics similar to those of a personal computer Click here for more related information."
Acad_Axi_CD_L1_software,What does the software refer to?,To programs or applications on a computer Click here for more related information.
Acad_Axi_CD_L1_Teclado,What is the keyboard?,Es un ejemplo de dispositivo periférico de entrada. Dá click aquí para más información relacionada
Acad_Axi_CD_L1_Web App,What is Web App?,"It is the type of App considered as a web application focused on mobile devices, and is developed in HTLM, CSS and JavaScript. Click here for more related information."
Acad_Axi_CD_L1_¿Cómo se clasifican los dispositivos periféricos_,How are peripheral devices classified?,"Entry, exit and storage; is the classification of peripheral devices. Click here for more related information."
Acad_Axi_CD_L2_7 principios constitutivos Web 2.0,"7 constitutive principles of web 2.0, proposed by Tim O'Reilly","The web as a work platform. Harnessing collective intelligence. The end of the cycle for software version updates. Data management as a basic skill. Light programming models and the search for simplicity. The software is not limited to a single device. Enriching experiences for users. These are the 7 constitutive principles of web 2.0, proposed by Tim O'Reilly.Click here for more related information."
Acad_Axi_CD_L2_AND,What is AND?,AND: Es el operador booleano que se emplea para que los resultados de la búsqueda muestren solo documentos que contengan los dos o más términos especificados. Dá click aquí para más información relacionada
Acad_Axi_CD_L2_Caracteristica Web 2.0,"Characteristic of web 2.0, what is the difference from web 1.0?","The role of the user is to be a consumer and producer of the content of the web, it is one of the characteristics of web 2.0, which differentiates it from web 1.0. Click here for more related information."
Acad_Axi_CD_L2_Chrome,What is chrome?,"Chrome is the browser (application software) that brought simplicity in the use of the computer, as well as a minimalist design. Click here for more related information."
Acad_Axi_CD_L2_Comillas,What are quotation marks for?,"When searching the internet, quotation marks are used to search for exact phrases or words. Click here for more related information."
Acad_Axi_CD_L2_Dialnet,tell me about Dialnet?,Dialnet es un ejemplo de base de datos bibliográfica. Dá click aquí para más información relacionada
