Intents,Query,Response
Acad_TeAcad_Teo_MNU_Los errores nos permiteno_MNU_Los errores nos permiten,¿Los errores nos permiten?,Los errores nos permiten: Tener una idea de que tan aproximado está el resultado a la solución.
Acad_Teo_CA_acepta un proyecto de inversión,¿Cuándo se acepta un proyecto de inversión en bienes de capital?,"Cuando su VPN es positivo. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://www.uv.mx/iiesca/files/2013/04/10CA201202.pdf"""" target=""""_blank"""">Elementos para el análisis de proyectos de inversión en activos fijos en las pequeñas y medianas empresas. (PDF)</a><br />
<a href=""""http://www.delfabro.cl/preparacinyevaluacindeproyectos_nassirsapag5edi.pdf” target=""""_blank"""">Selección de Proveedores, Subastas y Negociaciones. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=UcVRbk8bP1U“ target=""""_blank"""">Análisis financiero y viabilidad de un negocio. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=Kr0o8HiYI8E"""" target=""""_blank"""">¿Por qué es importante calcular el RoI? (Video)</a><br />"
Acad_Teo_CA_Aceptar invitaciones,¿Qué ocasiona aceptar una invitación?,"Son algunos problemas ocasionados por falta de ética y compromiso del personal de compras. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.editorialpatria.com.mx/pdffiles/9786074386202.pdf"""" target=""""_blank"""">Administración de compras. Adquisiciones y abastecimiento. (PDF)</a><br />
<a href=""""http://biblioteca.iplacex.cl/MED/Compras%20y%20abastecimiento.pdf” target=""""_blank""""> Compras y abastecimiento. Unidad I. Introducción a la gestión de compras y abastecimiento.  (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=cf58YJWaiOw&t=5s"""" target=""""_blank Administración de las compras Parte 4- Proceso de compras segunda parte. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=nS_OD8jmUug"""" target=""""_blank"""">¿Qué es la administración de la cadena de suministro? (Video)</a><br />"
Acad_Teo_CA_ad Valorem,¿Qué es el ad Valorem?,"Impuesto. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://omawww.sat.gob.mx/aduanas/importando_exportando/guia_importacion/Paginas/procedimiento_para_importacion_de_mercancias.aspx"""" target=""""_blank"""">Procedimiento para la importación de Mercancías. (Página Web)
</a><br />
<a href=""""http://omawww.sat.gob.mx/aduanas/servicios/Paginas/obligaciones_del_agente_aduanal.aspx” target=""""_blank"""">Obligaciones del agente aduanal. (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=-pfub5zXpGc&t=26s“ target=""""_blank"""">Clasificación arancelaria de mercancías: ¿Cómo se hace? (Video)</a>
<a href=""""https://www.youtube.com/watch?v=LJ2GMkGyJKA"""" target=""""_blank"""">¿Qué es un arancel y cómo funciona? (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=R3Effi0RFoo"""" target=""""_blank"""">¿Qué es una aduana y cómo funciona? (Video)</a><br />"
Acad_Teo_CA_administra la relación con los proveedores,¿Quién administra la relación con los proveedores?,"SRM. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://prezi.com/ifobjpnn8irl/organizacion-del-departamento-de-compras/"""" target=""""_blank""""> Organización del Departamento de Compras. (PDF)</a><br />
<a href=""""https://alandap.files.wordpress.com/2015/10/administracion-de-la-cadena-de-suministro-estrategia-planeacion-y-operacion-sunil-chopra-peter-meindl.pdf” target=""""_blank"""">Tecnología De La Información En La Cadena De Suministro (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=DOFiXlybwgQ“ target=""""_blank"""">Supplier RelationShip Management (SRM). (Video)</a>
<a href=""""https://www.youtube.com/watch?v=d2m-UlFw_Fs"""" target=""""_blank"""">Avances en relacionamiento con proveedores (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=7Fv_j9-lpiw&t=103s"""" target=""""_blank"""">Gestión de proveedores. (Video)</a><br />"
Acad_Teo_CA_administración de stocks mínimo,¿Cómo impacta al proceso de compras la administración de stocks mínimos?,"Mejorando la eficiencia de la gestión de compras. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.biamericas.com/presentaciones/2012/gestionDeCompras/gestion-de-compras.pdf"""" target=""""_blank""""> Gestión de Compras: Logística y Reaprovisionamiento Eficiente (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=E9I1y9Qf_20&t=21s"""" target=""""_blank""""> Ciclo o proceso de compra ¿qué es?  (Video)</a><br />
<a href=""""https://begonagonzalezelejabarrieta.wordpress.com/2013/02/21/tipos-de-compras-ventajas-y-desventajas/"""" target=""""_blank""""> Tipos de compras. Ventajas y desventajas. (Página Web)</a>
<a href=""""https://www.youtube.com/watch?v=09-8psqJD2g"""" target=""""_blank""""> Administración de las compras Parte 1-El concepto del departamento de compras. (Video)</a><br />"
Acad_Teo_CA_Administración,¿Cuál es el area de compras?,"Administración. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.editorialpatria.com.mx/pdffiles/9786074386202.pdf"""" target=""""_blank"""">Administración de compras. Adquisiciones y abastecimiento. (PDF)</a><br />
<a href=""""http://biblioteca.iplacex.cl/MED/Compras%20y%20abastecimiento.pdf” target=""""_blank""""> Compras y abastecimiento. Unidad I. Introducción a la gestión de compras y abastecimiento.  (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=cf58YJWaiOw&t=5s"""" target=""""_blank Administración de las compras Parte 4- Proceso de compras segunda parte. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=nS_OD8jmUug"""" target=""""_blank"""">¿Qué es la administración de la cadena de suministro? (Video)</a><br />"
Acad_Teo_CA_algunos materiales utilizados para la fabricación de empaques,¿Cuáles son algunos materiales utilizados para la fabricación de empaques?,"Madera, cartón y metal. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://psinai.wordpress.com/2013/03/03/materiales-directos-e-indirectos/"""" target=""""_blank"""">Materiales directos e indirecto (PDF)</a><br />
<a href=""""https://es.slideshare.net/oscarreyesnova/4-manejo-de-empaques-y-embalajes” target=""""_blank"""">Empaques y embalajes. Las mejores prácticas en el manejo de la carga logística. (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=t3eB94AGQ44“ target=""""_blank"""">Razones de actividad | Rotación de inventario. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=mtZhIoLb2fw"""" target=""""_blank"""">Indicadores de desempeño de almacén. | KPI’s | Rotación de inventarios.? (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=3iVCSivjyuE"""" target=""""_blank"""">Envase, empaque y embalaje (Video)</a><br />"
Acad_Teo_CA_Almacén,¿Definición de almacén?,Se define como el espacio físico en donde se resguarda la mercancía.
Acad_Teo_CA_Aprobación de la compra,¿Qué es aprobación de la compra?,"Es la etapa del proceso de compras en donde se analiza la solicitud y los montos a gastar. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.editorialpatria.com.mx/pdffiles/9786074386202.pdf"""" target=""""_blank"""">Administración de compras (PDF)</a><br />
<a href=""""http://www.oas.org/juridico/spanish/mesicic2_repdom_sc_anexo_19_sp.pdf” target=""""_blank"""">El Sistema de Compras en la Administración Pública: Propuestas para su transformación. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=yWF1ej6oiYQ“ target=""""_blank"""">Compras nacionales e internacionales. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=xzisBBZoI_E"""" target=""""_blank"""">El proceso de compras en una empresa (Video)</a><br />"
